"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Proportion of suspected Ebola deaths that are from the last 21 days,Number of confirmed Ebola cases in the last 7 days,Number of probable Ebola deaths in the last 21 days,Cumulative number of suspected Ebola deaths,"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Proportion of probable Ebola cases that are from the last 7 days,Number of suspected Ebola cases in the last 21 days,Proportion of probable Ebola deaths that are from the last 21 days,"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Cumulative number of confirmed Ebola cases,Proportion of suspected Ebola cases that are from the last 21 days,Cumulative number of suspected Ebola cases,Number of confirmed Ebola cases in the last 21 days,Case fatality rate (CFR) of suspected Ebola cases,Cumulative number of confirmed Ebola deaths,Proportion of probable Ebola cases that are from the last 21 days,Number of confirmed Ebola deaths in the last 21 days,Proportion of confirmed Ebola cases that are from the last 7 days,"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days","Cumulative number of confirmed, probable and suspected Ebola deaths","Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Proportion of suspected Ebola cases that are from the last 7 days,"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Cumulative number of probable Ebola cases,Number of probable Ebola cases in the last 21 days,Number of suspected Ebola cases in the last 7 days,Proportion of confirmed Ebola deaths that are from the last 21 days,Cumulative number of probable Ebola deaths,Case fatality rate (CFR) of confirmed Ebola cases,Proportion of confirmed Ebola cases that are from the last 21 days,"Cumulative number of confirmed, probable and suspected Ebola cases",Case fatality rate (CFR) of probable Ebola cases,Number of probable Ebola cases in the last 7 days,Number of suspected Ebola deaths in the last 21 days,Country,Date,UID
0,0,0,0,0,0,0,0,0,0,0,2871,0,22,0,0,1778,0,0,0,0,2170,0,0,0,392,0,0,0,392,0,0,3285,0,0,0,Guinea,10-03-2015,Guinea2015-03-10
0,0,0,0,0,0,0,0,0,0,0,3150,0,4314,0,0,0,0,0,0,0,4162,0,0,0,1879,0,0,0,0,0,0,9343,0,0,0,Liberia,10-03-2015,Liberia2015-03-10
0,0,0,0,0,158,0,0,0,0,0,8428,0,2904,0,0,3263,0,0,0,0,3629,0,0,0,287,0,0,0,208,0,0,11619,0,0,0,Sierra Leone,10-03-2015,Sierra Leone2015-03-10
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,United Kingdom,10-03-2015,United Kingdom2015-03-10
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,8,0,0,0,Mali,10-03-2015,Mali2015-03-10
0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,7,0,0,0,0,8,0,0,0,1,0,0,0,1,0,0,20,0,0,0,Nigeria,10-03-2015,Nigeria2015-03-10
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Senegal,10-03-2015,Senegal2015-03-10
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Spain,10-03-2015,Spain2015-03-10
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,United States of America,10-03-2015,United States of America2015-03-10
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,United Kingdom,06-03-2015,United Kingdom2015-03-06
